Test Case ID,DateTime,Duration (sec),Input Address,Actual Returned Address,Latitude,Longitude,PCode,Result Format OK?,Missing Fields,Error Type (if any),Exception/Traceback,Test Outcome,Notes,
TC_0035,8/8/2025 18:34,0.013,အမှတ်(၂) ၊ (၃)လမ်း၊ မြင်းခြံအိတ်ချိန်၀င်း၊ မြင်းခြံမြို့,အမှတ် (၁) ရပ်ကွက်၊ မြင်းခြံ၊ မြင်းခြံ၊ မြင်းခြံခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,21.4574748,95.3919952,MMR010017701,All fields present,None,No error,,Sanity check: Pass,,
TC_0036,8/8/2025 18:34,0.063,မိုးကုတ်အိတ်ချိန်းဝင်း၊ ဘိုကုန်းရပ်ကွက်၊ မိုးကုတ်မြို့,မိုးကုတ်၊ ပြင်ဦးလွင်ခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,22.9246742,96.5063095,MMR010011701,All fields present,None,No error,,Sanity check: Pass,,
TC_0037,8/8/2025 18:34,0.068,ကျောက်ပန်းတောင်းအိတ်ချိန်းဝင်း၊ အမှတ်(၁)ကျောင်းအနောက်၊ စျေးကြီးမြောက်ဘက်ခြမ်း၊ (၅)ရပ်ကွက် ၊ ကျောက်ပန်းတောင်းမြို့,ကျောက်ပန်းတောင်း၊ ညောင်ဦးခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,20.8348347,95.1232127,MMR010020701,All fields present,None,No error,,Sanity check: Pass,,
TC_0038,8/8/2025 18:34,0.065,ကျောက်ဆည်အိတ်ချိန်းဝင်း၊ ရုံးကြီးလမ်း၊ အောင်ချိုင်းရပ်ကွက်၊ ကျောက်ဆည်မြို့,ကျောက်ဆည်၊ ကျောက်ဆည်ခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,21.598315,96.1346915,MMR010013701,All fields present,None,No error,,Sanity check: Pass,,
TC_0039,8/8/2025 18:34,0.009,ပျော်ဘွယ်အိတ်ချိန်းဝင်း၊ မြို့မစျေးအနီး၊ ရန်ကုန်-မန္တလေးလမ်း ၊ မြင်းဘက်ရပ်ကွက်၊ ပျော်ဘွယ်မြို့,မြင်းဘက်ရပ်ကွက်၊ ပျော်ဘွယ်၊ ပျော်ဘွယ်၊ ရမည်းသင်းခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,20.5955168,96.0455978,MMR010024701502,All fields present,None,No error,,Sanity check: Pass,,
TC_0040,8/8/2025 18:34,0.064,၄၂ လမ်း ၆၁ လမ်းနှင့် ၆၀ ကြား ၊ မဟာအောင်မြေမြို့နယ် ၊ မန္တလေးမြို့,မဟာအောင်မြေ၊ မန္တလေးခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,21.9586069,96.0795884,MMR010003,All fields present,None,No error,,Sanity check: Pass,,
TC_0041,8/8/2025 18:34,0.065,၇၃လမ်း ၃၆လမ်းထောင့် ၊ မဟာအောင်မြေမြို့နယ်၊ မန္တလေးမြို့,မဟာအောင်မြေ၊ မန္တလေးခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,21.9586069,96.0795884,MMR010003,All fields present,None,No error,,Sanity check: Pass,,
TC_0042,8/8/2025 18:34,0.065,အမှတ်(ဘီ-၁/၂/၃)၊ ၇၈လမ်း နှင့် ၂၇/၂၈လမ်းကြား၊ ချမ်းအေးသာစံမြို့နယ်၊ မန္တလေးမြို့,ချမ်းအေးသာစံ၊ မန္တလေးခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,21.9764442,96.0944003,MMR010002,All fields present,None,No error,,Sanity check: Pass,,
TC_0043,8/8/2025 18:34,0.014,မြန်မာ့ဆက်သွယ်ရေးလုပ်ငန်း၊ တိုင်းဒေသကြီးမန်နေဂျာရုံးဝင်း၊ မဟာဗန္ဓုလလမ်း၊ နာရီစင်အနီး၊ ပုသိမ်မြို့,အမှတ် (၁) ရပ်ကွက်၊ ပုသိမ်၊ ပုသိမ်၊ ပုသိမ်ခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,16.7753609,94.7381013,MMR017001701,All fields present,None,No error,,Sanity check: Pass,,
TC_0044,8/8/2025 18:34,0.013,ဟင်္သာတအော်တိုအိတ်ချိန်းဝင်း၊ ဗိုလ်ချုပ်လမ်း၊ ဟင်္သာတမြို့,အေးမြသာယာရပ်ကွက်၊ ဟင်္သာတ၊ ဟင်္သာတ၊ ဟင်္သာတခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,17.6565075,95.4367629,MMR017008701,All fields present,None,No error,,Sanity check: Pass,,
TC_0045,8/8/2025 18:34,0.009,ဇလွန်အော်တိုအိတ်ချိန်းဝင်း၊ အဒါးလမ်း၊ ဇလွန်မြို့,ကမ်းနားရပ်ကွက်၊ ဇလွန်၊ ဇလွန်၊ ဟင်္သာတခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,17.4789736,95.5564777,MMR017009701,All fields present,None,No error,,Sanity check: Pass,,
TC_0046,8/8/2025 18:34,0.063,ဘိုကလေးအော်တိုအိတ်ချိန်းဝင်း၊ အမှတ်(၄)ရပ်ကွက်၊ ရွှေတဆုပ်လမ်း၊ ဘိုကလေးမြို့,အမှတ် (၁) ရပ်ကွက်၊ ဘိုကလေး၊ ဖျာပုံခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,16.2864333,95.4018087,MMR017024701501,All fields present,None,No error,,Sanity check: Pass,,
TC_0047,8/8/2025 18:34,0.01,ဖျာပုံအော်တိုအိတ်ချိန်းဝင်း၊ အမှတ်(၅)လမ်း၊ (၁၂)ရပ်ကွက်၊ ဖျာပုံမြို့,ရပ်ကွက် (၁၂) စစ်တန်းရပ်ကွက်၊ ဖျာပုံ၊ ဖျာပုံ၊ ဖျာပုံခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,16.2850333,95.6799816,MMR017023701512,All fields present,None,No error,,Sanity check: Pass,,
TC_0048,8/8/2025 18:34,0.013,မြောင်းမြအော်တိုအိတ်ချိန်းဝင်း၊ တောက်ရောင်လမ်း ၊ မြောင်းမြမြို့,ကံ့ကော်မြိုင်ရပ်ကွက်၊ မြောင်းမြ၊ မြောင်းမြ၊ မြောင်းမြခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,16.5768388,94.8986917,MMR017014701,All fields present,None,No error,,Sanity check: Pass,,
TC_0049,8/8/2025 18:34,0.066,ညောင်တုန်းဆက်သွယ်ရေးရုံး၊ အမှတ်(၆)ရပ်ကွက်၊ ညောင်တုန်းမြို့,အမှတ် (၁) ရပ်ကွက်၊ ညောင်တုန်း၊ မအူပင်ခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,17.0437082,95.6431662,MMR017021701501,All fields present,None,No error,,Sanity check: Pass,,
TC_0050,8/8/2025 18:34,0.011,မြန်အောင်အော်တိုအိတ်ချိန်းဝင်း၊ စာတိုက်သဲကြီးကုန်းလမ်း၊ (၁)ရပ်ကွက်၊ မြန်အောင်မြို့,အမှတ် (၁) ရပ်ကွက်၊ မြန်အောင်၊ မြန်အောင်၊ ဟင်္သာတခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,18.2707494,95.3207069,MMR017011701501,All fields present,None,No error,,Sanity check: Pass,,
TC_0051,8/8/2025 18:34,0.061,မအူပင်မိုဘိုင်းနှင့်မိုက္ကရို၀င်း၊ ကမ်းနားလမ်း၊ အမှတ်(၁)ရပ်ကွက်၊ မအူပင်မြို့,မအူပင်၊ မအူပင်ခရိုင်၊ ဧရာဝတီတိုင်းဒေသကြီး,16.6975417,95.7247169,MMR017019701,All fields present,None,No error,,Sanity check: Pass,,
